"","disease","state","year","weeks_reporting","count","population"
"2469","Measles","Alaska",1974,2,1,335621
"2470","Measles","Alaska",1975,0,0,345253
"2471","Measles","Alaska",1976,21,11,355341
"2472","Measles","Alaska",1977,44,61,365958
"2473","Measles","Alaska",1978,28,2,377187
"2474","Measles","Alaska",1979,42,18,389118
"2475","Measles","Alaska",1980,40,6,401851
"2476","Measles","Alaska",1981,0,0,415458
"2477","Measles","Alaska",1982,31,1,429850
"2478","Measles","Alaska",1983,0,0,444879
"2479","Measles","Alaska",1984,0,0,460375
"2480","Measles","Alaska",1985,0,0,476138
"2481","Measles","Alaska",1986,0,0,491942
"2482","Measles","Alaska",1987,0,0,507531
"2483","Measles","Alaska",1988,14,1,522622
"2484","Measles","Alaska",1989,17,0,536903
"2485","Measles","Alaska",1990,39,27,550043
"2486","Measles","Alaska",1991,12,1,561769
"2487","Measles","Alaska",1992,40,4,572122
"2488","Measles","Alaska",1993,0,0,581250
"2489","Measles","Alaska",1994,26,16,589317
"2490","Measles","Alaska",1995,0,0,596513
"2491","Measles","Alaska",1996,43,68,603039
"2492","Measles","Alaska",1997,1,1,609112
"2493","Measles","Alaska",1998,16,16,614959
"2494","Measles","Alaska",1999,0,0,620817
"2495","Measles","Alaska",2000,32,1,626932
"2496","Measles","Alaska",2001,0,0,633510
"2497","Measles","Alaska",2002,0,0,640570
"2498","Measles","Alaska",2003,0,0,648078
"2499","Measles","Arizona",1928,42,847,419022
"2500","Measles","Arizona",1929,35,236,427789
"2501","Measles","Arizona",1930,47,2024,435573
"2502","Measles","Arizona",1931,42,2135,442257
"2503","Measles","Arizona",1932,34,86,448031
"2504","Measles","Arizona",1933,43,1261,453180
"2505","Measles","Arizona",1934,50,1022,458009
"2506","Measles","Arizona",1935,42,586,462838
"2507","Measles","Arizona",1936,46,2328,467998
"2508","Measles","Arizona",1937,40,3793,473840
"2509","Measles","Arizona",1938,50,699,480730
"2510","Measles","Arizona",1939,51,702,489061
"2511","Measles","Arizona",1940,48,1697,499261
"2512","Measles","Arizona",1941,48,3015,511731
"2513","Measles","Arizona",1942,50,3884,526617
"2514","Measles","Arizona",1943,47,1195,544018
"2515","Measles","Arizona",1944,47,4495,564056
"2516","Measles","Arizona",1945,47,558,586878
"2517","Measles","Arizona",1946,52,3073,612654
"2518","Measles","Arizona",1947,48,1467,641579
"2519","Measles","Arizona",1948,41,4302,673875
"2520","Measles","Arizona",1949,51,3795,709787
"2521","Measles","Arizona",1950,49,2389,749587
"2522","Measles","Arizona",1951,49,10609,793493
"2523","Measles","Arizona",1952,48,3576,841392
"2524","Measles","Arizona",1953,49,4988,892999
"2525","Measles","Arizona",1954,52,4959,947905
"2526","Measles","Arizona",1955,49,10107,1005547
"2527","Measles","Arizona",1956,50,6785,1065190
"2528","Measles","Arizona",1957,51,7886,1125907
"2529","Measles","Arizona",1958,49,9845,1186566
"2530","Measles","Arizona",1959,48,9067,1245828
"2531","Measles","Arizona",1960,46,4305,1302161
"2532","Measles","Arizona",1961,50,7868,1354248
"2533","Measles","Arizona",1962,52,6350,1402293
"2534","Measles","Arizona",1963,48,8878,1447069
"2535","Measles","Arizona",1964,51,6310,1489542
"2536","Measles","Arizona",1965,52,1593,1530851
"2537","Measles","Arizona",1966,51,5438,1572291
"2538","Measles","Arizona",1967,52,1022,1615310
"2539","Measles","Arizona",1968,50,245,1661517
"2540","Measles","Arizona",1969,50,542,1712707
"2541","Measles","Arizona",1970,51,1006,1770900
"2542","Measles","Arizona",1971,51,509,1837891
"2543","Measles","Arizona",1972,50,868,1913632
"2544","Measles","Arizona",1973,47,26,1997501
"2545","Measles","Arizona",1974,46,21,2088732
"2546","Measles","Arizona",1975,45,83,2186365
"2547","Measles","Arizona",1976,47,243,2289201
"2548","Measles","Arizona",1977,46,218,2395761
"2549","Measles","Arizona",1978,44,66,2504256
"2550","Measles","Arizona",1979,46,88,2612561
"2551","Measles","Arizona",1980,48,326,2718215
"2552","Measles","Arizona",1981,37,11,2819039
"2553","Measles","Arizona",1982,20,16,2915148
"2554","Measles","Arizona",1983,0,0,3007444
"2555","Measles","Arizona",1984,0,0,3097045
"2556","Measles","Arizona",1985,40,248,3185267
"2557","Measles","Arizona",1986,42,256,3273618
"2558","Measles","Arizona",1987,40,35,3363792
"2559","Measles","Arizona",1988,2,3,3457679
"2560","Measles","Arizona",1989,51,145,3557380
"2561","Measles","Arizona",1990,45,285,3665228
"2562","Measles","Arizona",1991,47,342,3783229
"2563","Measles","Arizona",1992,18,0,3911122
"2564","Measles","Arizona",1993,22,3,4047937
"2565","Measles","Arizona",1994,20,9,4192532
"2566","Measles","Arizona",1995,47,12,4343559
"2567","Measles","Arizona",1996,36,8,4499438
"2568","Measles","Arizona",1997,36,9,4658333
"2569","Measles","Arizona",1998,9,10,4818136
"2570","Measles","Arizona",1999,30,1,4976457
"2571","Measles","Arizona",2000,0,0,5130632
"2572","Measles","Arizona",2001,14,1,5278300
"2573","Measles","Arizona",2002,0,0,5419266
"2574","Measles","Arizona",2003,0,0,5554021
"2575","Measles","Arkansas",1928,49,8899,1834261
"2576","Measles","Arkansas",1929,46,1245,1844191
"2577","Measles","Arkansas",1930,39,994,1854482
"2578","Measles","Arkansas",1931,49,849,1865216
"2579","Measles","Arkansas",1932,38,99,1876247
"2580","Measles","Arkansas",1933,52,5438,1887368
"2581","Measles","Arkansas",1934,35,7222,1898367
"2582","Measles","Arkansas",1935,42,1518,1909028
"2583","Measles","Arkansas",1936,24,107,1919130
"2584","Measles","Arkansas",1937,43,322,1928446
"2585","Measles","Arkansas",1938,52,6881,1936749
"2586","Measles","Arkansas",1939,51,2410,1943807
"2587","Measles","Arkansas",1940,48,1414,1949387
"2588","Measles","Arkansas",1941,48,5393,1953293
"2589","Measles","Arkansas",1942,50,4602,1955469
"2590","Measles","Arkansas",1943,47,2998,1955897
"2591","Measles","Arkansas",1944,47,3669,1954565
"2592","Measles","Arkansas",1945,48,1226,1951465
"2593","Measles","Arkansas",1946,51,3028,1946593
"2594","Measles","Arkansas",1947,49,2399,1939953
"2595","Measles","Arkansas",1948,43,3802,1931550
"2596","Measles","Arkansas",1949,52,12313,1921397
"2597","Measles","Arkansas",1950,50,1739,1909511
"2598","Measles","Arkansas",1951,47,7625,1896004
"2599","Measles","Arkansas",1952,47,3470,1881353
"2600","Measles","Arkansas",1953,50,12948,1866113
"2601","Measles","Arkansas",1954,51,2619,1850824
"2602","Measles","Arkansas",1955,48,2994,1836007
"2603","Measles","Arkansas",1956,51,8637,1822168
"2604","Measles","Arkansas",1957,42,1358,1809798
"2605","Measles","Arkansas",1958,42,3002,1799376
"2606","Measles","Arkansas",1959,39,816,1791377
"2607","Measles","Arkansas",1960,43,1596,1786272
"2608","Measles","Arkansas",1961,38,1684,1784456
"2609","Measles","Arkansas",1962,37,1438,1785997
"2610","Measles","Arkansas",1963,35,1453,1790896
"2611","Measles","Arkansas",1964,34,1106,1799171
"2612","Measles","Arkansas",1965,51,1195,1810863
"2613","Measles","Arkansas",1966,51,1377,1826028
"2614","Measles","Arkansas",1967,52,1269,1844745
"2615","Measles","Arkansas",1968,34,3,1867112
"2616","Measles","Arkansas",1969,45,29,1893248
"2617","Measles","Arkansas",1970,45,33,1923295
"2618","Measles","Arkansas",1971,48,442,1957252
"2619","Measles","Arkansas",1972,47,13,1994452
"2620","Measles","Arkansas",1973,47,77,2034009
"2621","Measles","Arkansas",1974,43,14,2074967
"2622","Measles","Arkansas",1975,6,2,2116289
"2623","Measles","Arkansas",1976,12,20,2156856
"2624","Measles","Arkansas",1977,46,46,2195463
"2625","Measles","Arkansas",1978,46,22,2230829
"2626","Measles","Arkansas",1979,47,11,2261613
"2627","Measles","Arkansas",1980,44,18,2286435
"2628","Measles","Arkansas",1981,28,14,2304331
"2629","Measles","Arkansas",1982,0,0,2316088
"2630","Measles","Arkansas",1983,19,1,2322996
"2631","Measles","Arkansas",1984,15,9,2326399
"2632","Measles","Arkansas",1985,0,0,2327671
"2633","Measles","Arkansas",1986,41,286,2328197
"2634","Measles","Arkansas",1987,0,0,2329366
"2635","Measles","Arkansas",1988,0,0,2332569
"2636","Measles","Arkansas",1989,15,5,2339212
"2637","Measles","Arkansas",1990,31,41,2350725
"2638","Measles","Arkansas",1991,0,0,2368201
"2639","Measles","Arkansas",1992,0,0,2391223
"2640","Measles","Arkansas",1993,0,0,2418991
"2641","Measles","Arkansas",1994,0,0,2450696
"2642","Measles","Arkansas",1995,42,2,2485501
"2643","Measles","Arkansas",1996,0,0,2522529
"2644","Measles","Arkansas",1997,1,3,2560848
"2645","Measles","Arkansas",1998,0,0,2599475
"2646","Measles","Arkansas",1999,9,4,2637361
"2647","Measles","Arkansas",2000,7,1,2673400
"2648","Measles","Arkansas",2001,0,0,2706668
"2649","Measles","Arkansas",2002,0,0,2737163
"2650","Measles","Arkansas",2003,0,0,2765142
"2651","Measles","California",1928,52,3698,5230775
"2652","Measles","California",1929,52,4024,5465979
"2653","Measles","California",1930,52,43416,5677251
"2654","Measles","California",1931,52,27807,5856343
"2655","Measles","California",1932,52,12618,6004994
"2656","Measles","California",1933,52,26551,6128552
"2657","Measles","California",1934,52,25650,6233386
"2658","Measles","California",1935,52,28799,6326636
"2659","Measles","California",1936,50,49050,6416022
"2660","Measles","California",1937,51,5107,6509758
"2661","Measles","California",1938,52,18527,6616546
"2662","Measles","California",1939,51,63748,6745701
"2663","Measles","California",1940,48,26167,6907387
"2664","Measles","California",1941,48,12624,7110629
"2665","Measles","California",1942,50,94525,7356081
"2666","Measles","California",1943,47,28929,7642242
"2667","Measles","California",1944,47,53667,7967508
"2668","Measles","California",1945,48,31721,8329968
"2669","Measles","California",1946,52,54981,8727200
"2670","Measles","California",1947,50,7372,9156064
"2671","Measles","California",1948,44,49097,9612509
"2672","Measles","California",1949,52,33161,10091374
"2673","Measles","California",1950,50,14728,10586224
"2674","Measles","California",1951,49,61055,11090473
"2675","Measles","California",1952,49,39016,11601536
"2676","Measles","California",1953,49,53771,12117830
"2677","Measles","California",1954,52,60293,12637633
"2678","Measles","California",1955,49,67434,13159085
"2679","Measles","California",1956,52,32254,13680194
"2680","Measles","California",1957,51,50403,14198842
"2681","Measles","California",1958,51,35074,14712799
"2682","Measles","California",1959,48,38951,15219729
"2683","Measles","California",1960,52,22222,15717204
"2684","Measles","California",1961,51,36853,16203004
"2685","Measles","California",1962,52,28140,16676046
"2686","Measles","California",1963,47,20028,17135662
"2687","Measles","California",1964,51,32650,17581336
"2688","Measles","California",1965,52,13864,18012709
"2689","Measles","California",1966,51,15197,18429575
"2690","Measles","California",1967,52,5260,18831882
"2691","Measles","California",1968,52,1648,19219725
"2692","Measles","California",1969,51,898,19593348
"2693","Measles","California",1970,51,1949,19953134
"2694","Measles","California",1971,51,2864,20300216
"2695","Measles","California",1972,50,3222,20638390
"2696","Measles","California",1973,50,804,20972407
"2697","Measles","California",1974,50,1103,21307362
"2698","Measles","California",1975,52,5217,21648695
"2699","Measles","California",1976,52,2324,22002198
"2700","Measles","California",1977,48,7938,22374038
"2701","Measles","California",1978,52,646,22770801
"2702","Measles","California",1979,52,974,23199549
"2703","Measles","California",1980,51,886,23667902
"2704","Measles","California",1981,48,347,24181703
"2705","Measles","California",1982,51,800,24737390
"2706","Measles","California",1983,48,156,25328529
"2707","Measles","California",1984,50,312,25948031
"2708","Measles","California",1985,49,259,26588046
"2709","Measles","California",1986,48,429,27239883
"2710","Measles","California",1987,51,774,27893955
"2711","Measles","California",1988,51,735,28539754
"2712","Measles","California",1989,49,2192,29165865
"2713","Measles","California",1990,48,9598,29760021
"2714","Measles","California",1991,48,1963,30311890
"2715","Measles","California",1992,44,61,30821629
"2716","Measles","California",1993,47,63,31292538
"2717","Measles","California",1994,45,64,31728420
"2718","Measles","California",1995,37,38,32133526
"2719","Measles","California",1996,42,45,32512506
"2720","Measles","California",1997,48,35,32870358
"2721","Measles","California",1998,31,4,33212395
"2722","Measles","California",1999,42,18,33544208
"2723","Measles","California",2000,38,15,33871648
"2724","Measles","California",2001,40,34,34199784
"2725","Measles","California",2002,33,0,34529758
"2726","Measles","California",2003,0,0,34861711
"2727","Measles","Colorado",1928,48,2099,1017341
"2728","Measles","Colorado",1929,51,748,1026769
"2729","Measles","Colorado",1930,52,11781,1035791
"2730","Measles","Colorado",1931,49,4787,1044337
"2731","Measles","Colorado",1932,49,2376,1052508
"2732","Measles","Colorado",1933,49,297,1060454
"2733","Measles","Colorado",1934,52,12946,1068328
"2734","Measles","Colorado",1935,52,12786,1076289
"2735","Measles","Colorado",1936,49,597,1084500
"2736","Measles","Colorado",1937,50,1027,1093129
"2737","Measles","Colorado",1938,52,9163,1102350
"2738","Measles","Colorado",1939,51,5886,1112343
"2739","Measles","Colorado",1940,48,2625,1123296
"2740","Measles","Colorado",1941,48,7438,1135396
"2741","Measles","Colorado",1942,50,5628,1148802
"2742","Measles","Colorado",1943,47,11266,1163673
"2743","Measles","Colorado",1944,47,6329,1180180
"2744","Measles","Colorado",1945,48,1072,1198507
"2745","Measles","Colorado",1946,52,11943,1218852
"2746","Measles","Colorado",1947,50,1769,1241433
"2747","Measles","Colorado",1948,43,9135,1266487
"2748","Measles","Colorado",1949,51,7221,1294276
"2749","Measles","Colorado",1950,50,5239,1325089
"2750","Measles","Colorado",1951,47,12385,1359143
"2751","Measles","Colorado",1952,49,5287,1396249
"2752","Measles","Colorado",1953,49,9788,1436087
"2753","Measles","Colorado",1954,52,1906,1478294
"2754","Measles","Colorado",1955,48,4902,1522459
"2755","Measles","Colorado",1956,51,14190,1568112
"2756","Measles","Colorado",1957,49,2887,1614721
"2757","Measles","Colorado",1958,49,9436,1661688
"2758","Measles","Colorado",1959,45,7037,1708343
"2759","Measles","Colorado",1960,51,6806,1753947
"2760","Measles","Colorado",1961,51,3879,1797911
"2761","Measles","Colorado",1962,52,9001,1840493
"2762","Measles","Colorado",1963,48,6298,1882216
"2763","Measles","Colorado",1964,51,3240,1923669
"2764","Measles","Colorado",1965,52,6009,1965498
"2765","Measles","Colorado",1966,51,1445,2008407
"2766","Measles","Colorado",1967,52,1635,2053164
"2767","Measles","Colorado",1968,50,499,2100603
"2768","Measles","Colorado",1969,48,139,2151635
"2769","Measles","Colorado",1970,49,240,2207259
"2770","Measles","Colorado",1971,50,894,2268242
"2771","Measles","Colorado",1972,49,522,2334054
"2772","Measles","Colorado",1973,49,166,2403738
"2773","Measles","Colorado",1974,48,158,2476210
"2774","Measles","Colorado",1975,51,1170,2550245
"2775","Measles","Colorado",1976,50,450,2624457
"2776","Measles","Colorado",1977,47,434,2697303
"2777","Measles","Colorado",1978,50,50,2767084
"2778","Measles","Colorado",1979,47,73,2831958
"2779","Measles","Colorado",1980,46,24,2889964
"2780","Measles","Colorado",1981,34,8,2939663
"2781","Measles","Colorado",1982,30,7,2982055
"2782","Measles","Colorado",1983,0,0,3018900
"2783","Measles","Colorado",1984,0,0,3052100
"2784","Measles","Colorado",1985,21,9,3083671
"2785","Measles","Colorado",1986,32,5,3115721
"2786","Measles","Colorado",1987,33,9,3150449
"2787","Measles","Colorado",1988,50,116,3190156
"2788","Measles","Colorado",1989,36,100,3237270
"2789","Measles","Colorado",1990,42,139,3294394
"2790","Measles","Colorado",1991,33,11,3363642
"2791","Measles","Colorado",1992,27,22,3444391
"2792","Measles","Colorado",1993,40,0,3535251
"2793","Measles","Colorado",1994,35,20,3634710
"2794","Measles","Colorado",1995,31,26,3741086
"2795","Measles","Colorado",1996,38,7,3852482
"2796","Measles","Colorado",1997,1,29,3966754
"2797","Measles","Colorado",1998,0,0,4081485
"2798","Measles","Colorado",1999,15,0,4193978
"2799","Measles","Colorado",2000,37,3,4301261
"2800","Measles","Colorado",2001,0,0,4400742
"2801","Measles","Colorado",2002,0,0,4492257
"2802","Measles","Colorado",2003,0,0,4576377
"2803","Measles","Connecticut",1928,52,10014,1574079
"2804","Measles","Connecticut",1929,51,9800,1591618
"2805","Measles","Connecticut",1930,51,1810,1606903
"2806","Measles","Connecticut",1931,52,12869,1619815
"2807","Measles","Connecticut",1932,52,5701,1630719
"2808","Measles","Connecticut",1933,52,5430,1640119
"2809","Measles","Connecticut",1934,52,4659,1648537
"2810","Measles","Connecticut",1935,52,24149,1656509
"2811","Measles","Connecticut",1936,50,3828,1664582
"2812","Measles","Connecticut",1937,49,10181,1673313
"2813","Measles","Connecticut",1938,52,1816,1683273
"2814","Measles","Connecticut",1939,50,15904,1695047
"2815","Measles","Connecticut",1940,48,6436,1709242
"2816","Measles","Connecticut",1941,48,6366,1726368
"2817","Measles","Connecticut",1942,50,10537,1746470
"2818","Measles","Connecticut",1943,47,9865,1769482
"2819","Measles","Connecticut",1944,47,8775,1795344
"2820","Measles","Connecticut",1945,48,3012,1823998
"2821","Measles","Connecticut",1946,52,7585,1855392
"2822","Measles","Connecticut",1947,50,16030,1889472
"2823","Measles","Connecticut",1948,44,2832,1926186
"2824","Measles","Connecticut",1949,52,19012,1965475
"2825","Measles","Connecticut",1950,51,3980,2007280
"2826","Measles","Connecticut",1951,49,4612,2051526
"2827","Measles","Connecticut",1952,49,24540,2098103
"2828","Measles","Connecticut",1953,47,2168,2146881
"2829","Measles","Connecticut",1954,52,5026,2197715
"2830","Measles","Connecticut",1955,44,28902,2250442
"2831","Measles","Connecticut",1956,51,2697,2304877
"2832","Measles","Connecticut",1957,51,9672,2360815
"2833","Measles","Connecticut",1958,50,15792,2418028
"2834","Measles","Connecticut",1959,48,13030,2476261
"2835","Measles","Connecticut",1960,51,11057,2535234
"2836","Measles","Connecticut",1961,50,6768,2594594
"2837","Measles","Connecticut",1962,51,17790,2653773
"2838","Measles","Connecticut",1963,48,5859,2712110
"2839","Measles","Connecticut",1964,50,5289,2768892
"2840","Measles","Connecticut",1965,52,9222,2823356
"2841","Measles","Connecticut",1966,51,944,2874698
"2842","Measles","Connecticut",1967,51,106,2922078
"2843","Measles","Connecticut",1968,51,707,2964628
"2844","Measles","Connecticut",1969,51,642,3001466
"2845","Measles","Connecticut",1970,51,116,3031709
"2846","Measles","Connecticut",1971,49,1194,3054792
"2847","Measles","Connecticut",1972,50,1536,3071418
"2848","Measles","Connecticut",1973,51,1819,3082659
"2849","Measles","Connecticut",1974,47,174,3089639
"2850","Measles","Connecticut",1975,50,129,3093513
"2851","Measles","Connecticut",1976,51,237,3095453
"2852","Measles","Connecticut",1977,49,774,3096643
"2853","Measles","Connecticut",1978,48,528,3098267
"2854","Measles","Connecticut",1979,31,4,3101513
"2855","Measles","Connecticut",1980,46,27,3107576
"2856","Measles","Connecticut",1981,43,9,3117363
"2857","Measles","Connecticut",1982,43,8,3130581
"2858","Measles","Connecticut",1983,6,0,3146641
"2859","Measles","Connecticut",1984,35,10,3164947
"2860","Measles","Connecticut",1985,32,6,3184895
"2861","Measles","Connecticut",1986,29,9,3205868
"2862","Measles","Connecticut",1987,39,22,3227234
"2863","Measles","Connecticut",1988,32,17,3248344
"2864","Measles","Connecticut",1989,43,215,3268532
"2865","Measles","Connecticut",1990,42,188,3287116
"2866","Measles","Connecticut",1991,38,23,3303573
"2867","Measles","Connecticut",1992,11,2,3318064
"2868","Measles","Connecticut",1993,44,6,3330930
"2869","Measles","Connecticut",1994,38,4,3342519
"2870","Measles","Connecticut",1995,13,1,3353188
"2871","Measles","Connecticut",1996,42,1,3363299
"2872","Measles","Connecticut",1997,27,0,3373219
"2873","Measles","Connecticut",1998,0,0,3383318
"2874","Measles","Connecticut",1999,31,0,3393974
"2875","Measles","Connecticut",2000,0,0,3405565
"2876","Measles","Connecticut",2001,25,0,3418395
"2877","Measles","Connecticut",2002,0,0,3432433
"2878","Measles","Connecticut",2003,0,0,3447563
"2879","Measles","Delaware",1928,41,597,234814
"2880","Measles","Delaware",1929,38,566,236508
"2881","Measles","Delaware",1930,40,261,238380
"2882","Measles","Delaware",1931,41,2428,240462
"2883","Measles","Delaware",1932,26,39,242750
"2884","Measles","Delaware",1933,37,205,245227
"2885","Measles","Delaware",1934,42,3063,247879
"2886","Measles","Delaware",1935,48,1040,250689
"2887","Measles","Delaware",1936,44,1407,253641
"2888","Measles","Delaware",1937,36,1796,256717
"2889","Measles","Delaware",1938,42,608,259900
"2890","Measles","Delaware",1939,42,252,263169
"2891","Measles","Delaware",1940,48,101,266505
"2892","Measles","Delaware",1941,48,3489,269904
"2893","Measles","Delaware",1942,50,253,273432
"2894","Measles","Delaware",1943,47,1593,277176
"2895","Measles","Delaware",1944,47,396,281229
"2896","Measles","Delaware",1945,50,279,285687
"2897","Measles","Delaware",1946,39,596,290658
"2898","Measles","Delaware",1947,33,61,296252
"2899","Measles","Delaware",1948,37,1040,302595
"2900","Measles","Delaware",1949,50,741,309821
"2901","Measles","Delaware",1950,44,625,318085
"2902","Measles","Delaware",1951,38,690,327511
"2903","Measles","Delaware",1952,35,410,338054
"2904","Measles","Delaware",1953,41,407,349613
"2905","Measles","Delaware",1954,43,1942,362073
"2906","Measles","Delaware",1955,35,105,375297
"2907","Measles","Delaware",1956,45,866,389127
"2908","Measles","Delaware",1957,44,333,403375
"2909","Measles","Delaware",1958,46,515,417824
"2910","Measles","Delaware",1959,47,616,432223
"2911","Measles","Delaware",1960,49,956,446292
"2912","Measles","Delaware",1961,40,1698,459766
"2913","Measles","Delaware",1962,49,607,472560
"2914","Measles","Delaware",1963,40,1201,484642
"2915","Measles","Delaware",1964,37,394,495986
"2916","Measles","Delaware",1965,52,519,506576
"2917","Measles","Delaware",1966,50,264,516402
"2918","Measles","Delaware",1967,49,56,525460
"2919","Measles","Delaware",1968,44,24,533755
"2920","Measles","Delaware",1969,48,506,541297
"2921","Measles","Delaware",1970,51,268,548104
"2922","Measles","Delaware",1971,49,42,554209
"2923","Measles","Delaware",1972,45,56,559693
"2924","Measles","Delaware",1973,46,10,564659
"2925","Measles","Delaware",1974,45,16,569211
"2926","Measles","Delaware",1975,39,35,573460
"2927","Measles","Delaware",1976,50,111,577523
"2928","Measles","Delaware",1977,42,7,581518
"2929","Measles","Delaware",1978,50,11,585568
"2930","Measles","Delaware",1979,32,1,589798
"2931","Measles","Delaware",1980,44,4,594338
"2932","Measles","Delaware",1981,0,0,599301
"2933","Measles","Delaware",1982,0,0,604720
"2934","Measles","Delaware",1983,0,0,610606
"2935","Measles","Delaware",1984,0,0,616972
"2936","Measles","Delaware",1985,0,0,623834
"2937","Measles","Delaware",1986,34,1,631207
"2938","Measles","Delaware",1987,31,20,639107
"2939","Measles","Delaware",1988,0,0,647554
"2940","Measles","Delaware",1989,32,36,656568
"2941","Measles","Delaware",1990,41,9,666168
"2942","Measles","Delaware",1991,42,19,676364
"2943","Measles","Delaware",1992,34,3,687107
"2944","Measles","Delaware",1993,32,2,698329
"2945","Measles","Delaware",1994,0,0,709960
"2946","Measles","Delaware",1995,0,0,721921
"2947","Measles","Delaware",1996,42,1,734132
"2948","Measles","Delaware",1997,0,0,746502
"2949","Measles","Delaware",1998,31,0,758939
"2950","Measles","Delaware",1999,0,0,771341
"2951","Measles","Delaware",2000,0,0,783600
"2952","Measles","Delaware",2001,0,0,795628
"2953","Measles","Delaware",2002,0,0,807429
"2954","Measles","Delaware",2003,0,0,819034
"2955","Measles","District Of Columbia",1928,35,2566,472771
"2956","Measles","District Of Columbia",1929,43,455,478871
"2957","Measles","District Of Columbia",1930,52,889,486869
"2958","Measles","District Of Columbia",1931,45,4198,497179
"2959","Measles","District Of Columbia",1932,42,273,509735
"2960","Measles","District Of Columbia",1933,52,533,524346
"2961","Measles","District Of Columbia",1934,46,6461,540809
"2962","Measles","District Of Columbia",1935,41,929,558898
"2963","Measles","District Of Columbia",1936,46,2111,578354
"2964","Measles","District Of Columbia",1937,48,2053,598878
"2965","Measles","District Of Columbia",1938,52,742,620120
"2966","Measles","District Of Columbia",1939,51,3276,641679
"2967","Measles","District Of Columbia",1940,48,883,663091
"2968","Measles","District Of Columbia",1941,48,3730,683894
"2969","Measles","District Of Columbia",1942,50,1624,703811
"2970","Measles","District Of Columbia",1943,47,2109,722606
"2971","Measles","District Of Columbia",1944,47,2733,740035
"2972","Measles","District Of Columbia",1945,48,348,755848
"2973","Measles","District Of Columbia",1946,49,4190,769797
"2974","Measles","District Of Columbia",1947,47,534,781634
"2975","Measles","District Of Columbia",1948,43,2563,791123
"2976","Measles","District Of Columbia",1949,48,2248,798039
"2977","Measles","District Of Columbia",1950,43,1721,802178
"2978","Measles","District Of Columbia",1951,48,1496,803467
"2979","Measles","District Of Columbia",1952,47,2308,802281
"2980","Measles","District Of Columbia",1953,45,357,799122
"2981","Measles","District Of Columbia",1954,45,3032,794502
"2982","Measles","District Of Columbia",1955,45,453,788934
"2983","Measles","District Of Columbia",1956,39,1596,782918
"2984","Measles","District Of Columbia",1957,49,876,776943
"2985","Measles","District Of Columbia",1958,40,1420,771485
"2986","Measles","District Of Columbia",1959,43,397,767005
"2987","Measles","District Of Columbia",1960,45,1210,763956
"2988","Measles","District Of Columbia",1961,47,366,762633
"2989","Measles","District Of Columbia",1962,39,703,762709
"2990","Measles","District Of Columbia",1963,34,221,763707
"2991","Measles","District Of Columbia",1964,30,344,765153
"2992","Measles","District Of Columbia",1965,49,157,766570
"2993","Measles","District Of Columbia",1966,50,390,767479
"2994","Measles","District Of Columbia",1967,51,27,767400
"2995","Measles","District Of Columbia",1968,49,6,765853
"2996","Measles","District Of Columbia",1969,18,45,762372
"2997","Measles","District Of Columbia",1970,50,345,756510
"2998","Measles","District Of Columbia",1971,48,16,748020
"2999","Measles","District Of Columbia",1972,31,2,737335
"3000","Measles","District Of Columbia",1973,39,10,725053
"3001","Measles","District Of Columbia",1974,32,1,711746
"3002","Measles","District Of Columbia",1975,27,2,697960
"3003","Measles","District Of Columbia",1976,48,13,684201
"3004","Measles","District Of Columbia",1977,41,14,670939
"3005","Measles","District Of Columbia",1978,10,2,658610
"3006","Measles","District Of Columbia",1979,11,1,647615
"3007","Measles","District Of Columbia",1980,8,5,638333
"3008","Measles","District Of Columbia",1981,27,2,631010
"3009","Measles","District Of Columbia",1982,43,1,625419
"3010","Measles","District Of Columbia",1983,0,0,621237
"3011","Measles","District Of Columbia",1984,0,0,618158
"3012","Measles","District Of Columbia",1985,23,28,615889
"3013","Measles","District Of Columbia",1986,0,0,614147
"3014","Measles","District Of Columbia",1987,0,0,612651
"3015","Measles","District Of Columbia",1988,0,0,611127
"3016","Measles","District Of Columbia",1989,36,41,609299
"3017","Measles","District Of Columbia",1990,36,22,606900
"3018","Measles","District Of Columbia",1991,0,0,603744
"3019","Measles","District Of Columbia",1992,6,2,599967
"3020","Measles","District Of Columbia",1993,0,0,595785
"3021","Measles","District Of Columbia",1994,0,0,591406
"3022","Measles","District Of Columbia",1995,0,0,587034
"3023","Measles","District Of Columbia",1996,10,0,582869
"3024","Measles","District Of Columbia",1997,36,2,579101
"3025","Measles","District Of Columbia",1998,0,0,575921
"3026","Measles","District Of Columbia",1999,0,0,573512
"3027","Measles","District Of Columbia",2000,0,0,572059
"3028","Measles","District Of Columbia",2001,0,0,571698
"3029","Measles","District Of Columbia",2002,0,0,572365
"3030","Measles","District Of Columbia",2003,0,0,573947
"3031","Measles","Florida",1928,43,1714,1358128
"3032","Measles","Florida",1929,49,1127,1414280
"3033","Measles","Florida",1930,51,5245,1468211
"3034","Measles","Florida",1931,46,3894,1518617
"3035","Measles","Florida",1932,45,207,1565536
"3036","Measles","Florida",1933,43,993,1609464
"3037","Measles","Florida",1934,52,8015,1651015
"3038","Measles","Florida",1935,47,1174,1690912
"3039","Measles","Florida",1936,39,302,1729972
"3040","Measles","Florida",1937,34,394,1769107
"3041","Measles","Florida",1938,51,9175,1809314
"3042","Measles","Florida",1939,50,2895,1851685
"3043","Measles","Florida",1940,48,2192,1897414
